epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
26,703.252,2.03365,4.80627,6.33173,0.02375,0.85639,0.41752,0.02518,0.00792,0.00192,0.00062,0.02005,0.00484,0.00024,0.0001,1.9809,4.72464,6.55442,0.02538,0,0,0.00059619,0.00059619,0.00059619
27,729.868,2.03389,4.774,6.33007,0.02347,0.84097,0.41865,0.02481,0.00788,0.00148,0.00048,0.01961,0.00476,0.00026,0.0001,1.97295,4.7155,6.5545,0.02519,0,0,0.000591478,0.000591478,0.000591478
28,756.485,2.03021,4.75044,6.3337,0.02333,0.83945,0.41851,0.02731,0.00837,0.00177,0.00062,0.02064,0.0051,0.00024,9e-05,1.97023,4.68577,6.55679,0.02517,0,0,0.000586765,0.000586765,0.000586765
29,783.031,2.03649,4.7657,6.33847,0.02371,0.85895,0.41808,0.02693,0.00865,0.00177,0.00063,0.02028,0.00531,0.00027,0.0001,1.97448,4.71226,6.5611,0.02517,0,0,0.000582053,0.000582053,0.000582053
30,809.617,2.04025,4.76781,6.33229,0.02358,0.83603,0.41827,0.02662,0.00821,0.00143,0.00047,0.01947,0.00436,0.00022,0.0001,1.97001,4.69216,6.55197,0.0251,0,0,0.00057734,0.00057734,0.00057734
31,836.329,2.03853,4.76424,6.34443,0.02347,0.84512,0.41811,0.0251,0.00792,0.00196,0.00065,0.0201,0.00482,0.00026,0.0001,1.97347,4.70552,6.56275,0.02522,0,0,0.000572628,0.000572628,0.000572628
32,863.673,2.03171,4.78303,6.33787,0.02365,0.84286,0.42018,0.02414,0.0077,0.00197,0.00065,0.01904,0.00436,0.00023,0.0001,1.97452,4.71149,6.56575,0.02519,0,0,0.000567916,0.000567916,0.000567916
33,890.457,2.0481,4.79825,6.33493,0.02374,0.84349,0.41622,0.026,0.00792,0.00157,0.00049,0.02082,0.00523,0.00027,0.0001,1.97386,4.673,6.54905,0.02523,0,0,0.000563203,0.000563203,0.000563203
34,917.265,2.03886,4.76551,6.34358,0.02356,0.84363,0.41523,0.0266,0.00871,0.00146,0.00049,0.01934,0.0046,0.00023,0.0001,1.97769,4.68769,6.55977,0.02533,0,0,0.000558491,0.000558491,0.000558491
35,943.778,2.02572,4.78592,6.33065,0.02366,0.85093,0.41332,0.02751,0.00782,0.00201,0.00067,0.02115,0.00442,0.00024,0.0001,1.97876,4.74412,6.58711,0.02529,0,0,0.000553778,0.000553778,0.000553778
36,970.138,2.03512,4.76067,6.33877,0.02355,0.84411,0.41782,0.02546,0.00838,0.00158,0.00049,0.02046,0.0055,0.00024,0.0001,1.97676,4.71603,6.55758,0.02526,0,0,0.000549066,0.000549066,0.000549066
37,996.47,2.03748,4.75657,6.34892,0.0237,0.84557,0.41575,0.02505,0.00818,0.00185,0.00065,0.01908,0.0048,0.00024,0.0001,1.97564,4.69144,6.52689,0.02525,0,0,0.000544354,0.000544354,0.000544354
38,1023.09,2.04005,4.7462,6.34105,0.02341,0.83303,0.42117,0.02877,0.00877,0.00152,0.0005,0.02133,0.00497,0.00028,0.0001,1.97433,4.67564,6.56057,0.0253,0,0,0.000539641,0.000539641,0.000539641
39,1049.47,2.02862,4.75729,6.33544,0.02354,0.84369,0.41777,0.02672,0.00837,0.00183,0.00064,0.02109,0.00543,0.00026,0.0001,1.96963,4.67273,6.54393,0.02521,0,0,0.000534929,0.000534929,0.000534929
40,1076.15,2.03977,4.78722,6.34246,0.02369,0.85363,0.41515,0.02438,0.00709,0.00156,0.00047,0.02057,0.00452,0.00023,0.0001,1.97786,4.73681,6.58077,0.02526,0,0,0.000530216,0.000530216,0.000530216
41,1102.95,2.04406,4.7665,6.35646,0.02349,0.84089,0.41406,0.02636,0.00821,0.0015,0.00048,0.02014,0.00442,0.00022,9e-05,1.97477,4.69796,6.55081,0.02525,0,0,0.000525504,0.000525504,0.000525504
42,1129.78,2.04379,4.73554,6.3296,0.02354,0.83542,0.41082,0.02675,0.00827,0.00147,0.00049,0.01935,0.00416,0.00022,0.0001,1.97462,4.70648,6.54282,0.02526,0,0,0.000520792,0.000520792,0.000520792
43,1156.7,2.03492,4.77364,6.33526,0.02342,0.83952,0.41304,0.02564,0.00792,0.0016,0.00049,0.0195,0.00466,0.00028,0.0001,1.97122,4.68471,6.55392,0.0252,0,0,0.000516079,0.000516079,0.000516079
