epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8387,2.14063,4.99204,6.49498,0.02627,0.9464,0.58621,0.02824,0.01332,0.00219,0.00085,0.01884,0.00819,0.0004,0.00014,2.05933,5.03553,6.59762,0.02697,0,0.81439,0.00023637,0.00023637,0.00023637
2,77.9687,2.14049,4.98168,6.48558,0.02631,0.94721,0.60643,0.02825,0.01331,0.00173,0.00069,0.01888,0.00737,0.00032,0.00013,2.06526,5.07043,6.59032,0.02711,0,0.79549,0.0004685,0.0004685,0.0004685
3,113.762,2.14196,5.0046,6.49214,0.02632,0.95054,0.62571,0.02898,0.01381,0.00216,0.00078,0.01896,0.00785,0.00034,0.00014,2.05861,5.06683,6.58986,0.02701,0,0.83369,0.000694739,0.000694739,0.000694739
4,149.887,2.14647,4.98113,6.49155,0.02639,0.94863,0.62637,0.02768,0.01282,0.00223,0.00083,0.01971,0.00817,0.00044,0.00015,2.06099,5.06831,6.59318,0.02699,0,0.82382,0.000687493,0.000687493,0.000687493
5,185.76,2.14545,5.00404,6.47617,0.02651,0.94985,0.62489,0.02965,0.0132,0.00207,0.00083,0.01938,0.00774,0.00039,0.00014,2.05339,5.05052,6.6019,0.02684,0,0.79345,0.000678657,0.000678657,0.000678657
6,221.216,2.13787,4.98441,6.49633,0.02615,0.94837,0.63738,0.02724,0.01295,0.0019,0.00071,0.01916,0.00799,0.00033,0.00014,2.06386,5.03146,6.59257,0.02712,0,0.7936,0.000669821,0.000669821,0.000669821
7,256.162,2.13839,4.96995,6.49577,0.02615,0.94906,0.61648,0.02731,0.01316,0.00205,0.00077,0.01843,0.00786,0.00031,0.00013,2.05847,5.02635,6.58387,0.02697,0,0.80136,0.000660986,0.000660986,0.000660986
8,291.482,2.14284,4.99791,6.5019,0.02617,0.95383,0.61756,0.02789,0.01335,0.00216,0.00085,0.01888,0.00807,0.00038,0.00015,2.06419,5.0561,6.58967,0.02706,0,0.7918,0.00065215,0.00065215,0.00065215
9,326.861,2.14072,5.00499,6.49497,0.02624,0.95189,0.60607,0.02848,0.01389,0.00196,0.00083,0.01942,0.00816,0.00042,0.00014,2.06572,5.04679,6.60312,0.02705,0,0.85158,0.000643314,0.000643314,0.000643314
10,362.285,2.14424,5.00765,6.4981,0.02637,0.95327,0.60484,0.02703,0.01341,0.00178,0.0007,0.02007,0.00904,0.00062,0.00016,2.06622,5.06131,6.59548,0.02702,0,0.84181,0.000634478,0.000634478,0.000634478
11,398.856,2.14502,4.99248,6.50132,0.02636,0.94913,0.60988,0.02817,0.01405,0.0018,0.00079,0.02052,0.00864,0.00031,0.00013,2.06443,5.04522,6.59235,0.02715,0,0.83146,0.000625642,0.000625642,0.000625642
12,435.071,2.14445,4.99784,6.48233,0.02628,0.94929,0.58768,0.0281,0.0137,0.00187,0.00072,0.02039,0.00873,0.00055,0.00017,2.06198,5.05031,6.59505,0.02705,0,0.83016,0.000616807,0.000616807,0.000616807
13,471.053,2.14714,5.0016,6.49228,0.02636,0.94952,0.59118,0.02766,0.01248,0.00213,0.00078,0.02008,0.00789,0.00038,0.00014,2.06284,5.05406,6.59189,0.02703,0,0.81577,0.000607971,0.000607971,0.000607971
14,507.225,2.14574,4.99881,6.4922,0.02636,0.9513,0.59868,0.02801,0.01332,0.00178,0.00075,0.01827,0.0075,0.00038,0.00013,2.06186,5.05605,6.58361,0.02707,0,0.86932,0.000599135,0.000599135,0.000599135
15,543.695,2.14333,5.00155,6.49904,0.02624,0.95406,0.59668,0.02877,0.01356,0.00222,0.00078,0.01929,0.00817,0.00039,0.00015,2.06273,5.05903,6.59409,0.02701,0,0.80013,0.0005903,0.0005903,0.0005903
16,579.891,2.14684,4.99772,6.49257,0.0264,0.9467,0.58334,0.02931,0.01364,0.00221,0.00079,0.0204,0.00833,0.00032,0.00014,2.05809,5.02301,6.59137,0.02698,0,0.79361,0.000581464,0.000581464,0.000581464
17,615.923,2.14693,4.98562,6.492,0.02637,0.94942,0.58062,0.02856,0.01367,0.0022,0.00081,0.02018,0.00831,0.00047,0.00016,2.06063,5.05809,6.59411,0.02703,0,0.79911,0.000572628,0.000572628,0.000572628
18,651.722,2.13963,4.9866,6.49696,0.02636,0.95363,0.57291,0.02823,0.0136,0.00214,0.00079,0.02095,0.00872,0.00048,0.00015,2.05962,5.05292,6.58497,0.02697,0,0.821,0.000563792,0.000563792,0.000563792
19,688.166,2.14057,4.99001,6.49603,0.0262,0.94947,0.56906,0.02616,0.01307,0.00185,0.00071,0.01837,0.00847,0.00042,0.00014,2.05954,5.04881,6.58496,0.027,0,0.79885,0.000554956,0.000554956,0.000554956
20,724.444,2.13801,5.01336,6.49143,0.02624,0.9503,0.58643,0.02774,0.01397,0.00222,0.00085,0.02045,0.00839,0.00034,0.00014,2.06142,5.01931,6.58921,0.027,0,0.7752,0.000546121,0.000546121,0.000546121
21,760.763,2.14996,4.99009,6.49501,0.02638,0.95145,0.56168,0.02806,0.01298,0.00209,0.00082,0.01839,0.00751,0.00034,0.00012,2.05846,5.0429,6.59246,0.02699,0,0.77769,0.000537285,0.000537285,0.000537285
22,797.045,2.15201,4.9739,6.48061,0.02642,0.94894,0.56065,0.02658,0.01224,0.00174,0.00068,0.01886,0.00769,0.00033,0.00013,2.06254,5.05486,6.58944,0.02704,0,0.79149,0.000528449,0.000528449,0.000528449
