epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
26,894.124,2.64932,4.71493,5.87091,0.03325,0.80926,0.80179,0.03208,0.00373,0.00121,0.00031,0.01946,0.00161,0.0002,9e-05,2.58059,4.65768,6.01258,0.03493,0,0,0.00059619,0.00059619,0.00059619
27,927.439,2.65849,4.71054,5.86122,0.03301,0.79761,0.8089,0.03433,0.00377,0.00121,0.00031,0.02037,0.00171,0.00021,0.0001,2.57801,4.65436,6.00944,0.03487,0,0,0.000591478,0.000591478,0.000591478
28,961.086,2.64722,4.68942,5.86229,0.03274,0.79526,0.80652,0.03053,0.00337,0.0012,0.00031,0.01869,0.00158,0.00019,0.0001,2.5729,4.63579,6.00485,0.03476,0,0,0.000586765,0.000586765,0.000586765
29,995.871,2.65478,4.69073,5.86476,0.03337,0.81144,0.81634,0.02909,0.00331,0.00119,0.00031,0.01721,0.00152,0.00018,9e-05,2.57778,4.65149,6.01495,0.0348,0,0,0.000582053,0.000582053,0.000582053
30,1031.18,2.66214,4.70029,5.86878,0.03311,0.79739,0.80642,0.03458,0.00309,0.00117,0.0003,0.02374,0.00177,0.00022,0.00011,2.57464,4.64694,6.00674,0.0348,0,0,0.00057734,0.00057734,0.00057734
31,1065.83,2.67035,4.70904,5.87367,0.03318,0.79945,0.81736,0.03596,0.00355,0.00118,0.0003,0.02068,0.00171,0.0002,0.0001,2.57938,4.64651,6.01665,0.03488,0,0,0.000572628,0.000572628,0.000572628
32,1099.29,2.65737,4.70245,5.87094,0.03328,0.79951,0.83914,0.03551,0.00387,0.00122,0.00038,0.02015,0.00171,0.0002,0.0001,2.58011,4.64917,6.01826,0.03491,0,0,0.000567916,0.000567916,0.000567916
33,1134.22,2.65965,4.72165,5.86847,0.03311,0.80051,0.80152,0.03229,0.00337,0.00123,0.00031,0.01869,0.00158,0.0002,0.0001,2.57122,4.63526,6.00388,0.03472,0,0,0.000563203,0.000563203,0.000563203
34,1169.05,2.65585,4.69998,5.87728,0.03305,0.80146,0.78431,0.03355,0.0038,0.00119,0.0003,0.01994,0.00168,0.00019,9e-05,2.57575,4.63897,6.01103,0.03484,0,0,0.000558491,0.000558491,0.000558491
35,1203.76,2.65278,4.70736,5.87113,0.03332,0.80655,0.79479,0.0281,0.00329,0.00118,0.00029,0.01892,0.00148,0.0002,0.0001,2.58181,4.66584,6.03588,0.03487,0,0,0.000553778,0.000553778,0.000553778
36,1238.17,2.65807,4.70603,5.87007,0.03303,0.80126,0.82168,0.03776,0.00415,0.00121,0.00031,0.02324,0.00197,0.00021,0.0001,2.58057,4.64641,6.0132,0.03491,0,0,0.000549066,0.000549066,0.000549066
37,1273.11,2.65389,4.70564,5.87833,0.03312,0.80248,0.7932,0.03191,0.0038,0.00115,0.00028,0.01722,0.00162,0.0002,9e-05,2.5768,4.64515,5.98826,0.03485,0,0,0.000544354,0.000544354,0.000544354
38,1307.61,2.65854,4.69241,5.87184,0.03282,0.79198,0.80215,0.0363,0.00353,0.00122,0.00032,0.02474,0.00187,0.00021,0.0001,2.57413,4.63175,6.01311,0.03481,0,0,0.000539641,0.000539641,0.000539641
39,1341.14,2.64961,4.69739,5.87384,0.03308,0.80094,0.78839,0.03193,0.0037,0.0012,0.00031,0.0189,0.00158,0.0002,0.00011,2.5741,4.63317,6.00102,0.03485,0,0,0.000534929,0.000534929,0.000534929
40,1374.61,2.65245,4.70696,5.88137,0.03325,0.80868,0.7767,0.0365,0.00379,0.00114,0.00029,0.01995,0.00161,0.00019,9e-05,2.58013,4.66285,6.02604,0.03485,0,0,0.000530216,0.000530216,0.000530216
41,1409.5,2.6607,4.71009,5.87602,0.03309,0.79667,0.77753,0.0332,0.00342,0.00119,0.0003,0.0165,0.00152,0.00017,9e-05,2.57557,4.64787,6.0047,0.03486,0,0,0.000525504,0.000525504,0.000525504
42,1444.11,2.65154,4.69527,5.86964,0.03296,0.79528,0.78136,0.0354,0.00343,0.00117,0.0003,0.02369,0.00177,0.00021,0.0001,2.57514,4.65418,6.0012,0.03487,0,0,0.000520792,0.000520792,0.000520792
43,1477.69,2.65601,4.70641,5.86986,0.03292,0.79448,0.79222,0.03598,0.00379,0.00125,0.00033,0.02038,0.00167,0.00022,0.00011,2.57502,4.63362,6.00307,0.03482,0,0,0.000516079,0.000516079,0.000516079
44,1511.14,2.65844,4.69359,5.87528,0.03321,0.80142,0.79455,0.03591,0.00337,0.00117,0.00036,0.02061,0.00181,0.00019,9e-05,2.57561,4.64741,6.00218,0.03485,0,0,0.000511367,0.000511367,0.000511367
45,1546.07,2.65962,4.70626,5.8781,0.03312,0.79745,0.79164,0.03495,0.00355,0.00121,0.00031,0.01855,0.00165,0.0002,0.0001,2.57752,4.63539,5.9994,0.03487,0,0,0.000506654,0.000506654,0.000506654
46,1580.62,2.6556,4.70174,5.86275,0.03322,0.80035,0.77536,0.03534,0.00395,0.00124,0.00033,0.02307,0.00183,0.00021,0.0001,2.5812,4.64851,5.99441,0.03492,0,0,0.000501942,0.000501942,0.000501942
47,1615.87,2.65321,4.71017,5.87144,0.03308,0.79804,0.78506,0.03106,0.00337,0.00119,0.00031,0.01886,0.00158,0.0002,0.0001,2.57778,4.65367,6.00701,0.0349,0,0,0.00049723,0.00049723,0.00049723
48,1650.15,2.65936,4.69893,5.86438,0.03303,0.79852,0.77167,0.0376,0.00405,0.00129,0.00035,0.02104,0.00181,0.00021,0.00011,2.57976,4.64251,6.00654,0.03493,0,0,0.000492517,0.000492517,0.000492517
49,1683.56,2.65044,4.70777,5.87143,0.0335,0.80911,0.77806,0.03154,0.00339,0.00119,0.0003,0.02107,0.00167,0.00021,9e-05,2.57796,4.6539,6.02196,0.03486,0,0,0.000487805,0.000487805,0.000487805
50,1716.73,2.66438,4.70225,5.87054,0.03317,0.79583,0.7865,0.03205,0.0036,0.00118,0.0003,0.01797,0.00148,0.00019,9e-05,2.57222,4.65566,6.01144,0.03482,0,0,0.000483092,0.000483092,0.000483092
51,1749.68,2.65574,4.69671,5.87142,0.03302,0.79769,0.77748,0.03389,0.00303,0.00123,0.00032,0.02276,0.00171,0.00022,0.00011,2.57597,4.64256,6.00539,0.03483,0,0,0.00047838,0.00047838,0.00047838
52,1782.89,2.66341,4.68735,5.86846,0.03307,0.79727,0.77386,0.03619,0.00389,0.0012,0.00031,0.02284,0.00177,0.00021,0.00011,2.57374,4.63487,6.00326,0.03484,0,0,0.000473668,0.000473668,0.000473668
53,1816.49,2.66025,4.69993,5.87001,0.03337,0.80398,0.76603,0.03188,0.00361,0.00119,0.0003,0.02215,0.00167,0.00022,0.0001,2.57973,4.65393,6.01808,0.03484,0,0,0.000468955,0.000468955,0.000468955
54,1850.03,2.65247,4.70443,5.86498,0.03307,0.80234,0.76367,0.03105,0.00375,0.00119,0.0003,0.01994,0.00168,0.00019,9e-05,2.56937,4.6404,6.00738,0.03468,0,0,0.000464243,0.000464243,0.000464243
55,1883.36,2.6632,4.70439,5.87484,0.0333,0.80401,0.76674,0.03717,0.00355,0.00119,0.00031,0.02442,0.00177,0.00022,0.00011,2.575,4.64214,6.01616,0.03483,0,0,0.00045953,0.00045953,0.00045953
