epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6464,2.13344,4.98879,6.4947,0.0262,0.94765,3.80678,0.02848,0.01303,0.00224,0.00073,0.02082,0.00836,0.00036,0.00014,2.04865,4.99144,6.60247,0.02678,0,1.04244,0.00023637,0.00023637,0.00023637
2,75.5772,2.13935,4.97383,6.48243,0.02626,0.946,1.02671,0.02748,0.0135,0.00218,0.00073,0.01887,0.00786,0.00037,0.00013,2.05953,5.03553,6.58671,0.02708,0,1.01418,0.000471239,0.000471239,0.000471239
3,111.447,2.14098,4.99827,6.49364,0.02634,0.95067,1.00074,0.029,0.01377,0.00212,0.00079,0.02046,0.0088,0.00042,0.00017,2.0532,5.0524,6.58748,0.02688,0,0.98228,0.000702967,0.000702967,0.000702967
4,146.911,2.13996,4.98184,6.48728,0.02628,0.94715,1.03695,0.02732,0.01296,0.00222,0.00083,0.01977,0.00827,0.00045,0.00015,2.06075,5.0656,6.59401,0.02701,0,0.96588,0.000699863,0.000699863,0.000699863
5,182.182,2.14268,4.99968,6.4771,0.02639,0.94777,0.98702,0.02741,0.01323,0.00219,0.00084,0.01914,0.00829,0.00042,0.00015,2.05044,5.01711,6.5974,0.0268,0,0.94101,0.00069515,0.00069515,0.00069515
6,218.412,2.13958,4.9872,6.49545,0.02623,0.94851,0.97082,0.02726,0.0133,0.00221,0.00073,0.02045,0.00891,0.0006,0.00017,2.05857,5.01266,6.59116,0.02699,0,0.92928,0.000690438,0.000690438,0.000690438
7,254.003,2.1349,4.97587,6.4948,0.02612,0.95274,0.97039,0.02726,0.0137,0.00214,0.00079,0.02039,0.00862,0.00045,0.00014,2.05534,5.01084,6.58377,0.02692,0,1.06125,0.000685726,0.000685726,0.000685726
8,289.19,2.13659,4.98246,6.49876,0.02618,0.95051,0.95782,0.02704,0.01314,0.00217,0.00079,0.01928,0.00817,0.00037,0.00015,2.0597,5.02583,6.58166,0.02701,0,0.95651,0.000681013,0.000681013,0.000681013
9,325.11,2.13877,4.99533,6.49627,0.0262,0.95253,0.93034,0.02713,0.0135,0.00214,0.00081,0.02014,0.0087,0.00061,0.00017,2.06261,5.02149,6.60482,0.02703,0,0.93723,0.000676301,0.000676301,0.000676301
10,360.761,2.13744,4.99479,6.49688,0.02627,0.95117,0.91078,0.02696,0.01346,0.00218,0.00079,0.02,0.00879,0.00061,0.00017,2.06454,5.04674,6.59404,0.02707,0,0.9123,0.000671588,0.000671588,0.000671588
11,395.241,2.13939,4.98316,6.49732,0.02624,0.95017,0.9293,0.02731,0.01422,0.00214,0.00079,0.02031,0.00868,0.00042,0.00015,2.0595,5.03106,6.58885,0.02704,0,0.94836,0.000666876,0.000666876,0.000666876
12,430.722,2.14098,4.99015,6.482,0.02623,0.95082,0.91693,0.02831,0.01419,0.00221,0.0008,0.02142,0.00936,0.00068,0.00017,2.05917,5.04029,6.59141,0.02697,0,0.90139,0.000662164,0.000662164,0.000662164
13,466.536,2.14105,5.0012,6.4942,0.02625,0.94992,0.91599,0.02739,0.01301,0.00218,0.0008,0.01911,0.00835,0.00041,0.00015,2.06057,5.04316,6.59065,0.02702,0,0.97274,0.000657451,0.000657451,0.000657451
14,502.316,2.14641,5.00618,6.48619,0.02641,0.9504,0.9143,0.02701,0.01352,0.00221,0.00078,0.0192,0.00864,0.00059,0.00017,2.05984,5.04419,6.58328,0.02702,0,0.92053,0.000652739,0.000652739,0.000652739
