epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
15,140.021,2.05112,6.84047,6.4949,0.02291,6.3779,5.4718,0.02289,0.01542,0.00176,0.00058,0.00116,0.00068,1e-05,0,1.98568,6.7027,6.58202,0.02509,0,0,0.000648026,0.000648026,0.000648026
16,148.661,2.04066,6.83079,6.49279,0.02316,6.3771,4.59613,0.02414,0.01572,0.00222,0.0006,0.00158,0.00098,1e-05,0,1.97974,6.69657,6.58459,0.02498,0,0,0.000643314,0.000643314,0.000643314
17,157.144,2.05314,6.84496,6.50114,0.02302,6.37788,3.83482,0.0219,0.01517,0.00205,0.00073,0.00133,0.00078,0.00063,6e-05,1.98808,6.68483,6.59077,0.02522,0,0,0.000638602,0.000638602,0.000638602
18,165.679,2.05012,6.84592,6.50232,0.02309,6.3779,3.19641,0.02132,0.01443,0.00204,0.00055,0.00135,0.00078,0.00063,6e-05,1.9794,6.69085,6.58444,0.02499,0,0,0.000633889,0.000633889,0.000633889
19,174.259,2.04433,6.84331,6.48673,0.02292,6.37778,2.65411,0.0231,0.01639,0.00213,0.0007,0.00113,0.00068,0.00063,6e-05,1.98402,6.67834,6.57663,0.02514,0,0,0.000629177,0.000629177,0.000629177
20,182.774,2.04993,6.83033,6.48999,0.023,6.37769,2.24065,0.02112,0.01481,0.00205,0.00066,0.00132,0.00078,0.00063,6e-05,1.99109,6.71459,6.56823,0.02522,0,0,0.000624464,0.000624464,0.000624464
21,191.343,2.04575,6.82901,6.50794,0.02291,6.3777,1.9145,0.02194,0.0152,0.00202,0.00068,0.00115,0.00068,0.00063,6e-05,1.98795,6.70254,6.57378,0.02523,0,0,0.000619752,0.000619752,0.000619752
22,199.953,2.04153,6.83001,6.4805,0.02304,6.37753,1.61258,0.02258,0.01599,0.00218,0.00071,0.00111,0.00068,0.00063,6e-05,1.99194,6.7051,6.5759,0.02524,0,0,0.00061504,0.00061504,0.00061504
23,208.699,2.04367,6.84623,6.47809,0.02288,6.37807,1.35309,0.02214,0.01467,0.00211,0.00069,0.00134,0.00078,0.00063,6e-05,1.98184,6.70816,6.59022,0.0251,0,0,0.000610327,0.000610327,0.000610327
24,217.273,2.04769,6.84985,6.47936,0.02286,6.37826,1.16879,0.02143,0.01503,0.00202,0.00074,0.00143,0.00088,0.00063,6e-05,1.98099,6.70511,6.58067,0.02517,0,0,0.000605615,0.000605615,0.000605615
25,226.047,2.05478,6.83112,6.49925,0.02328,6.37721,1.04948,0.02251,0.01582,0.0021,0.00069,0.00144,0.00084,0.00063,6e-05,1.98397,6.68344,6.56694,0.02511,0,0,0.000600902,0.000600902,0.000600902
26,234.506,2.05642,6.81015,6.49511,0.02334,6.37713,0.99766,0.02197,0.01561,0.00208,0.00069,0.0013,0.00078,0.00063,6e-05,1.99081,6.6859,6.58259,0.02524,0,0,0.00059619,0.00059619,0.00059619
27,243.121,2.04603,6.83064,6.50028,0.02287,6.37788,0.92476,0.02159,0.0149,0.00205,0.00074,0.00129,0.00078,0.00063,6e-05,1.98504,6.68677,6.58541,0.02514,0,0,0.000591478,0.000591478,0.000591478
