epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
46,402.69,2.05109,6.84443,6.48191,0.02298,6.37784,0.8497,0.02247,0.01532,0.0021,0.00056,0.00134,0.00078,0.00063,6e-05,1.9845,6.67947,6.58987,0.02514,0,0,0.000501942,0.000501942,0.000501942
47,411.273,2.04889,6.84553,6.51337,0.02298,6.37798,0.84169,0.02184,0.01523,0.00207,0.00068,0.00147,0.00112,0.00063,6e-05,1.98199,6.69475,6.56937,0.02509,0,0,0.00049723,0.00049723,0.00049723
48,420.126,2.04682,6.85398,6.49735,0.02288,6.37814,0.8489,0.02097,0.01441,0.00207,0.00067,0.00117,0.00068,0.00063,6e-05,1.98738,6.67914,6.58811,0.0252,0,0,0.000492517,0.000492517,0.000492517
49,428.865,2.04591,6.80197,6.50487,0.02317,6.37716,0.84255,0.0225,0.01472,0.00206,0.00058,0.00162,0.00098,0.00063,6e-05,1.98722,6.69669,6.59968,0.02519,0,0,0.000487805,0.000487805,0.000487805
50,437.342,2.05204,6.83802,6.49379,0.02301,6.37818,0.84059,0.02177,0.01449,0.00205,0.00066,0.00153,0.00112,0.00063,6e-05,1.99038,6.71082,6.59039,0.02525,0,0,0.000483092,0.000483092,0.000483092
51,457.77,1.81837,5.30054,3.17777,0.01924,6.37425,0.91966,0.31459,0.12669,0.12497,0.06403,0.14235,0.06186,0.04464,0.01086,1.62132,4.87475,2.35043,0.01894,0,0,0.00047838,0.00047838,0.00047838
52,470.425,1.64699,4.75871,2.20322,0.01701,6.36799,0.8897,0.1912,0.34029,0.17564,0.09912,0.17491,0.13073,0.08136,0.02312,1.51878,4.61463,2.03905,0.0171,0,0,0.000473668,0.000473668,0.000473668
53,483.041,1.57625,4.58608,2.03994,0.01614,6.36321,0.87498,0.19187,0.37792,0.19475,0.10843,0.10154,0.25523,0.09898,0.03038,1.48046,4.44555,1.93469,0.01657,0,0,0.000468955,0.000468955,0.000468955
54,496.074,1.53792,4.4637,1.96136,0.01547,6.36071,0.85505,0.12555,0.46354,0.20772,0.11653,0.08716,0.30141,0.11463,0.0369,1.45059,4.3439,1.88549,0.01598,0,0,0.000464243,0.000464243,0.000464243
55,508.789,1.5209,4.35764,1.89775,0.01502,6.35856,0.84709,0.12144,0.47894,0.21793,0.12131,0.08597,0.31127,0.12792,0.04358,1.44602,4.24332,1.84868,0.0158,0,0,0.00045953,0.00045953,0.00045953
56,521.584,1.50031,4.27184,1.84267,0.0148,6.35712,0.83757,0.13516,0.46711,0.21232,0.11744,0.09721,0.31347,0.12561,0.04195,1.42338,4.17518,1.82204,0.01572,0,0,0.000454818,0.000454818,0.000454818
57,534.228,1.48553,4.20612,1.81898,0.01457,6.35566,0.83023,0.15213,0.4323,0.21303,0.12012,0.1114,0.30135,0.13203,0.04748,1.42259,4.11557,1.81776,0.01533,0,0,0.000450106,0.000450106,0.000450106
58,546.941,1.47278,4.13505,1.78221,0.01441,6.35368,0.81887,0.15293,0.45587,0.21501,0.11802,0.11532,0.31299,0.13994,0.05117,1.41985,4.04892,1.79922,0.01537,0,0,0.000445393,0.000445393,0.000445393
59,559.548,1.47063,4.06462,1.75634,0.01446,6.35176,0.81118,0.16627,0.41631,0.20952,0.11545,0.12933,0.29965,0.13655,0.0507,1.41834,4.0092,1.80564,0.01546,0,0,0.000440681,0.000440681,0.000440681
60,572.547,1.45163,4.00902,1.73148,0.01395,6.3508,0.7997,0.15902,0.45887,0.22125,0.12111,0.12395,0.3271,0.1476,0.05595,1.41161,3.94403,1.75889,0.01524,0,0,0.000435968,0.000435968,0.000435968
61,585.183,1.44158,3.97793,1.70501,0.01408,6.3488,0.79075,0.18292,0.41297,0.21256,0.11999,0.14345,0.30928,0.14528,0.05734,1.41751,3.91839,1.77611,0.01532,0,0,0.000431256,0.000431256,0.000431256
62,597.794,1.43776,3.92281,1.67673,0.01407,6.34798,0.78912,0.17309,0.41907,0.21154,0.11491,0.13551,0.31091,0.14664,0.05767,1.40748,3.88955,1.75672,0.01533,0,0,0.000426544,0.000426544,0.000426544
63,610.893,1.4369,3.88998,1.66256,0.01393,6.34773,0.7752,0.1761,0.39977,0.20632,0.1131,0.13808,0.29622,0.14211,0.05751,1.4198,3.86467,1.78272,0.01552,0,0,0.000421831,0.000421831,0.000421831
64,623.597,1.42455,3.86843,1.63684,0.0138,6.34678,0.77923,0.19463,0.41217,0.20975,0.11452,0.1603,0.32385,0.1535,0.06069,1.41549,3.8438,1.75562,0.01549,0,0,0.000417119,0.000417119,0.000417119
65,636.136,1.41529,3.83349,1.62844,0.01362,6.34618,0.77012,0.17796,0.40738,0.20463,0.10977,0.14056,0.30525,0.14084,0.05617,1.40763,3.80814,1.75997,0.01514,0,0,0.000412406,0.000412406,0.000412406
66,648.636,1.40064,3.80055,1.60285,0.01336,6.34571,0.76162,0.19385,0.40275,0.20837,0.11583,0.15723,0.31548,0.15113,0.06145,1.40868,3.79335,1.749,0.01521,0,0,0.000407694,0.000407694,0.000407694
67,661.223,1.39903,3.76476,1.58344,0.01345,6.34416,0.75933,0.19556,0.3953,0.19676,0.10823,0.15523,0.30021,0.14041,0.0571,1.39872,3.77503,1.75349,0.01511,0,0,0.000402982,0.000402982,0.000402982
68,673.794,1.38465,3.73819,1.56767,0.01329,6.34394,0.74965,0.19763,0.4141,0.2133,0.11274,0.15728,0.31377,0.14809,0.06056,1.39715,3.75126,1.7346,0.01507,0,0,0.000398269,0.000398269,0.000398269
69,686.351,1.38738,3.71376,1.55179,0.01308,6.34482,0.75214,0.19797,0.4032,0.21404,0.11517,0.16287,0.30784,0.15331,0.06301,1.39862,3.74184,1.73887,0.01519,0,0,0.000393557,0.000393557,0.000393557
70,698.964,1.38431,3.69792,1.53621,0.01301,6.34414,0.74882,0.20394,0.38423,0.20351,0.11108,0.16474,0.29078,0.14792,0.05991,1.4002,3.73353,1.73452,0.01507,0,0,0.000388844,0.000388844,0.000388844
71,711.52,1.37602,3.66886,1.52184,0.01315,6.34226,0.73786,0.217,0.37345,0.20671,0.11311,0.17392,0.28164,0.15048,0.06183,1.41251,3.72409,1.74393,0.01532,0,0,0.000384132,0.000384132,0.000384132
72,724.31,1.36452,3.64704,1.51048,0.0128,6.34393,0.74083,0.20189,0.38995,0.20241,0.10774,0.16371,0.30441,0.14746,0.0598,1.40573,3.70787,1.74075,0.01526,0,0,0.00037942,0.00037942,0.00037942
73,737.411,1.36384,3.63677,1.48952,0.01295,6.34242,0.73505,0.19447,0.37592,0.20515,0.11167,0.16312,0.29896,0.15223,0.06201,1.40351,3.69678,1.74174,0.01517,0,0,0.000374707,0.000374707,0.000374707
74,750.117,1.35709,3.60999,1.47256,0.01281,6.3423,0.73223,0.20791,0.37019,0.19855,0.10602,0.17086,0.28406,0.1455,0.05962,1.41113,3.68691,1.73969,0.01533,0,0,0.000369995,0.000369995,0.000369995
75,762.923,1.3579,3.59606,1.46071,0.01287,6.34155,0.73193,0.20836,0.38295,0.20416,0.10946,0.1712,0.29806,0.15135,0.06148,1.40672,3.68269,1.74597,0.01516,0,0,0.000365282,0.000365282,0.000365282
76,775.821,1.34905,3.56102,1.45273,0.01271,6.34112,0.72807,0.22376,0.35835,0.19528,0.10559,0.18451,0.28423,0.14453,0.05973,1.40105,3.66445,1.73224,0.01524,0,0,0.00036057,0.00036057,0.00036057
77,788.497,1.34181,3.55628,1.43506,0.01253,6.34198,0.72913,0.21681,0.36619,0.1935,0.1034,0.17776,0.28026,0.13975,0.05699,1.39721,3.66771,1.75,0.0151,0,0,0.000355858,0.000355858,0.000355858
78,801.373,1.3387,3.53666,1.41919,0.01249,6.34135,0.72248,0.23096,0.34559,0.19199,0.10214,0.18501,0.2617,0.13743,0.05671,1.39807,3.6639,1.73848,0.01521,0,0,0.000351145,0.000351145,0.000351145
